zip_code,complainant_state,c2
NULL,,721
NULL,TX,52
75001,,1
75001,TX,3
75006,,2
75006,TX,5
75007,,1
75007,TX,3
75019,,14
75019,TN,1
75019,TX,45
75024,TX,1
75032,TX,1
75040,,2
75040,NJ,1
75040,OH,1
75040,TX,10
75041,TX,1
75042,,4
75042,LA,1
75042,TX,20
75043,TX,9
75048,TX,3
75050,TX,1
75051,,12
75051,TX,80
75052,,1
75052,TX,10
75060,TX,4
75062,TX,5
75074,TX,3
75075,TX,1
75080,,3
75080,TX,10
75081,TX,3
75082,TX,1
75087,TX,1
75088,,2
75088,TX,29
75089,,1
75089,TX,14
75115,,2
75115,TX,10
75116,,9
75116,TX,47
75126,TX,2
75134,,5
75134,TX,41
75137,TX,2
75141,TX,1
75149,,5
75149,TX,11
75150,,4
75150,TX,10
75154,,1
75154,TX,2
75159,,1
75159,TX,6
75180,,1
75180,TX,3
75181,TX,4
75182,TX,1
75201,,461
75201,AR,3
75201,AZ,7
75201,CA,12
75201,CO,8
75201,DC,1
75201,FL,9
75201,GA,9
75201,IL,6
75201,IN,3
75201,KS,7
75201,LA,5
75201,MD,2
75201,MI,5
75201,MO,9
75201,MS,4
75201,NC,2
75201,NJ,7
75201,NM,2
75201,NV,2
75201,NY,7
75201,OH,1
75201,OK,13
75201,OR,2
75201,PA,5
75201,SC,2
75201,SD,1
75201,TN,10
75201,TX,2985
75201,UT,1
75201,VA,3
75201,WA,2
75201,WI,5
75202,,288
75202,AK,1
75202,AL,4
75202,AR,13
75202,AZ,7
75202,CA,17
75202,CO,10
75202,CT,1
75202,DC,2
75202,DE,1
75202,FL,9
75202,GA,10
75202,IA,1
75202,ID,1
75202,IL,11
75202,IN,2
75202,KS,5
75202,LA,20
75202,MA,1
75202,MD,4
75202,MI,5
75202,MO,4
75202,MS,2
75202,MT,1
75202,NB,1
75202,NC,2
75202,ND,1
75202,NJ,2
75202,NM,4
75202,NY,7
75202,OH,1
75202,OK,28
75202,OR,2
75202,PA,4
75202,SC,2
75202,T,1
75202,TN,6
75202,TX,1725
75202,UT,3
75202,VA,6
75202,WA,2
75202,WI,1
75202,WY,1
75203,,564
75203,AR,3
75203,CA,4
75203,CO,2
75203,FL,3
75203,GA,1
75203,IA,1
75203,IL,4
75203,LA,5
75203,MA,1
75203,MI,1
75203,MO,2
75203,MS,3
75203,NB,1
75203,NC,1
75203,ND,1
75203,OK,1
75203,PA,1
75203,TN,3
75203,TX,2678
75203,WI,1
75204,,822
75204,AL,3
75204,AR,8
75204,AZ,2
75204,CA,10
75204,CO,5
75204,CT,1
75204,FL,4
75204,GA,3
75204,IL,6
75204,IN,1
75204,KS,2
75204,LA,8
75204,MI,1
75204,MN,1
75204,MO,8
75204,MS,1
75204,MT,2
75204,NC,4
75204,NM,3
75204,NV,1
75204,NY,4
75204,OH,1
75204,OK,18
75204,PA,2
75204,SC,2
75204,T,2
75204,TN,6
75204,TX,5115
75204,WA,2
75205,,91
75205,CO,1
75205,FL,2
75205,IL,1
75205,MO,1
75205,OK,2
75205,TN,1
75205,TX,487
75205,UT,1
75206,,762
75206,AL,3
75206,AR,8
75206,AZ,4
75206,CA,6
75206,CO,6
75206,CT,1
75206,FL,3
75206,GA,5
75206,IA,1
75206,IL,9
75206,KS,4
75206,LA,8
75206,MD,2
75206,MI,2
75206,MN,2
75206,MO,9
75206,MT,1
75206,NC,1
75206,NH,1
75206,NJ,1
75206,NY,2
75206,OH,1
75206,OK,19
75206,OR,1
75206,T,2
75206,TN,7
75206,TX,4246
75206,UT,2
75206,VA,4
75206,WA,2
75207,,358
75207,AK,1
75207,AL,3
75207,AR,16
75207,AZ,1
75207,CA,13
75207,CO,8
75207,CT,2
75207,DC,1
75207,FL,8
75207,GA,3
75207,IL,7
75207,IN,1
75207,KS,1
75207,KY,3
75207,LA,18
75207,MD,3
75207,ME,1
75207,MI,1
75207,MN,1
75207,MO,8
75207,MS,6
75207,NC,3
75207,ND,1
75207,NJ,1
75207,NM,1
75207,NY,6
75207,OH,2
75207,OK,46
75207,OR,1
75207,PA,2
75207,RI,1
75207,SD,1
75207,T,1
75207,TN,3
75207,TX,1572
75207,VA,2
75207,VT,1
75208,,595
75208,AR,3
75208,CA,3
75208,CO,4
75208,DC,1
75208,FL,1
75208,IL,5
75208,KS,1
75208,KY,1
75208,LA,3
75208,MI,1
75208,MO,1
75208,NC,1
75208,NY,1
75208,OK,7
75208,SC,1
75208,T,1
75208,TN,2
75208,TX,3557
75208,UT,2
75208,VA,1
75208,WA,1
75209,,203
75209,CA,1
75209,CO,1
75209,FL,4
75209,IA,1
75209,IL,1
75209,IN,1
75209,LA,2
75209,MO,1
75209,NB,1
75209,NC,2
75209,NH,1
75209,NJ,1
75209,OK,3
75209,PA,2
75209,SD,1
75209,TN,1
75209,TX,1452
75209,VA,1
75209,WI,1
75210,,316
75210,AR,3
75210,CA,4
75210,FL,5
75210,IA,1
75210,KS,2
75210,LA,1
75210,MD,1
75210,MI,2
75210,MN,1
75210,MO,1
75210,NM,1
75210,NV,2
75210,OK,4
75210,T,2
75210,TN,1
75210,TX,2010
75210,WA,1
75211,,1230
75211,AR,9
75211,AZ,5
75211,CA,4
75211,CO,2
75211,FL,6
75211,GA,3
75211,IL,7
75211,IN,2
75211,KS,5
75211,KY,3
75211,LA,10
75211,MA,1
75211,MD,1
75211,MN,1
75211,MO,5
75211,MS,1
75211,NB,1
75211,NJ,2
75211,NV,2
75211,NY,1
75211,OH,1
75211,OK,11
75211,OR,2
75211,SC,3
75211,TN,8
75211,TX,6364
75211,UT,2
75211,VA,1
75211,WA,2
75211,WI,2
75211,WV,1
75212,,522
75212,AL,2
75212,AR,2
75212,CA,2
75212,CO,1
75212,FL,2
75212,IL,1
75212,IN,1
75212,MN,1
75212,MO,1
75212,MS,2
75212,MT,2
75212,NC,3
75212,NE,1
75212,NM,2
75212,OH,3
75212,OK,7
75212,OR,1
75212,PA,1
75212,RI,1
75212,SC,1
75212,T,1
75212,TN,3
75212,TX,3081
75212,UT,1
75212,VA,2
75212,WI,2
75214,,383
75214,AL,1
75214,AR,2
75214,AZ,2
75214,CA,3
75214,CO,1
75214,GA,1
75214,IL,2
75214,IN,1
75214,LA,4
75214,MD,1
75214,NC,1
75214,NM,1
75214,OK,3
75214,PA,1
75214,T,1
75214,TN,2
75214,TX,2500
75215,,798
75215,AL,3
75215,AR,4
75215,AZ,9
75215,CA,4
75215,CO,1
75215,DC,2
75215,FL,5
75215,GA,5
75215,IA,1
75215,IL,1
75215,KS,1
75215,LA,10
75215,MA,1
75215,MI,1
75215,MN,1
75215,MO,2
75215,MS,5
75215,ND,1
75215,NM,1
75215,NV,1
75215,NY,2
75215,OK,6
75215,T,1
75215,TN,6
75215,TX,4758
75216,,1370
75216,AR,5
75216,AZ,1
75216,CA,4
75216,CO,5
75216,FL,1
75216,GA,2
75216,IL,2
75216,IN,1
75216,KY,1
75216,LA,10
75216,MO,4
75216,MS,1
75216,NB,1
75216,NC,3
75216,NM,1
75216,NV,1
75216,OH,3
75216,OK,11
75216,OR,1
75216,RI,1
75216,SC,1
75216,T,1
75216,TN,3
75216,TX,7755
75216,UT,1
75216,WA,1
75216,WI,1
75217,,1763
75217,AL,1
75217,AR,5
75217,AZ,2
75217,CA,6
75217,CO,5
75217,FL,4
75217,GA,1
75217,IL,3
75217,IN,2
75217,LA,16
75217,MI,1
75217,MN,1
75217,MS,2
75217,NB,1
75217,NC,1
75217,NY,1
75217,OK,11
75217,PA,1
