zip_code,complainant_zip_code,c2
NULL,,5
NULL,75002,1
NULL,75006,1
NULL,75048,1
NULL,75062,1
NULL,75081,1
NULL,75104,1
NULL,75149,1
NULL,75203,2
NULL,75207,2
NULL,75208,3
NULL,75211,6
NULL,75217,6
NULL,75220,1
NULL,75226,1
NULL,75227,1
NULL,75235,1
NULL,75241,3
NULL,75243,1
NULL,75248,1
NULL,75253,3
NULL,75254,1
NULL,76001,1
NULL,76112,2
NULL,76240,1
NULL,76262,1
NULL,76821,1
NULL,78154,1
NULL,79605,1
75001,75001,1
75001,75067,1
75001,75215,1
75006,75006,1
75006,75039,1
75006,75201,1
75006,75211,1
75006,75227,1
75006,75472,1
75007,75007,1
75007,75044,1
75007,75181,1
75019,,1
75019,75001,1
75019,75019,26
75019,75062,1
75019,75067,1
75019,75109,1
75019,75204,1
75019,75217,1
75019,75219,2
75019,75229,1
75019,75235,4
75019,75247,1
75019,75248,1
75019,75253,2
75019,76051,1
75019,76227,1
75024,75082,1
75032,75032,1
75040,,1
75040,75040,5
75040,75201,1
75040,75202,1
75040,75204,1
75040,75206,1
75041,75215,1
75042,,2
75042,75042,6
75042,75061,1
75042,75069,1
75042,75074,1
75042,75088,1
75042,75205,1
75042,75220,1
75042,75238,3
75042,75243,1
75042,76148,1
75042,76226,1
75043,75032,1
75043,75043,1
75043,75044,1
75043,75087,1
75043,75142,1
75043,75182,1
75043,75189,1
75043,75215,1
75043,75228,1
75048,75048,1
75048,75204,1
75048,77023,1
75050,75050,1
75051,,1
75051,75024,1
75051,75050,1
75051,75051,66
75051,75052,2
75051,75061,1
75051,75062,1
75051,75211,4
75051,75217,1
75051,75226,1
75051,75231,1
75051,75243,2
75052,75051,2
75052,75052,1
75052,75104,1
75052,75204,1
75052,75211,2
75052,75217,1
75052,75236,1
75052,75241,1
75052,76006,1
75060,,1
75060,75002,1
75060,75060,1
75060,75203,1
75062,75062,3
75062,75219,1
75062,75236,1
75074,75042,1
75074,75074,1
75074,75217,1
75075,76543,1
75080,75080,5
75080,75082,1
75080,75216,1
75080,75233,1
75080,75243,1
75080,75252,1
75081,75226,1
75081,75243,2
75082,75082,1
75087,75032,1
75088,75032,3
75088,75042,1
75088,75043,3
75088,75044,1
75088,75048,1
75088,75080,1
75088,75087,1
75088,75088,2
75088,75093,1
75088,75126,1
75088,75160,1
75088,75189,1
75088,75227,3
75088,75232,1
75088,75238,5
75088,75287,2
75088,78253,1
75089,,1
75089,75006,1
75089,75013,1
75089,75089,7
75089,75115,1
75089,75201,1
75089,75231,1
75089,76012,1
75115,,1
75115,75052,2
75115,75115,1
75115,75134,1
75115,75203,1
75115,75211,3
75115,75224,1
75116,75116,39
75116,75154,1
75116,75203,1
75116,75211,2
75116,75215,1
75116,75232,2
75116,75236,2
75126,75032,1
75126,75043,1
75134,75050,1
75134,75051,1
75134,75074,1
75134,75087,1
75134,75115,3
75134,75134,1
75134,75142,1
75134,75149,2
75134,75150,1
75134,75154,1
75134,75165,1
75134,75207,1
75134,75215,1
75134,75220,1
75134,75232,4
75134,75237,1
75134,75241,11
75134,75243,1
75134,76002,1
75134,76040,1
75134,76262,1
75134,76544,1
75134,76821,1
75134,77072,1
75134,78542,1
75137,75211,1
75137,75237,1
75141,75220,1
75149,75043,1
75149,75061,1
75149,75149,1
75149,75150,2
75149,75154,1
75149,75210,1
75149,75217,1
75149,75223,2
75149,75224,1
75149,75228,1
75150,74103,1
75150,75104,1
75150,75150,1
75150,75201,1
75150,75215,1
75150,75216,1
75150,75228,2
75150,75238,1
75150,76101,1
75154,75214,1
