a.zip_code,a.year1_of_occurrence,a.day1_of_the_week,_c3
75001,2015,Fri,1
75001,2015,Sat,1
75001,2015,Tue,1
75001,2016,Sat,1
75006,2015,Fri,2
75006,2015,Mon,1
75006,2015,Thu,1
75006,2016,Fri,1
75006,2016,Sat,1
75007,2015,Fri,1
75007,2015,Sat,1
75007,2015,Sun,1
75007,2015,Thu,1
75040,2015,Fri,2
75040,2015,Mon,3
75040,2015,Sat,1
75040,2015,Thu,4
75040,2015,Tue,1
75040,2015,Wed,2
75043,2015,Fri,2
75043,2015,Mon,1
75043,2015,Sat,1
75043,2016,Mon,1
75043,2016,Sat,2
75043,2016,Sun,1
75043,2016,Thu,1
75048,2015,Mon,1
75048,2015,Sun,1
75048,2015,Wed,1
75050,2015,Thu,1
75052,2015,Mon,2
75052,2015,Sat,2
75052,2015,Sun,1
75052,2015,Thu,2
75052,2015,Tue,1
75052,2016,Mon,1
75052,2016,Wed,2
75060,2015,Fri,1
75060,2015,Mon,2
75060,2015,Sun,1
75062,2015,Fri,1
75062,2015,Mon,2
75062,2015,Thu,1
75062,2015,Wed,1
75074,2015,Mon,1
75074,2015,Tue,1
75074,2016,Thu,1
75075,2015,Sun,1
75080,2015,Mon,2
75080,2015,Tue,2
75080,2016,Fri,1
75080,2016,Sat,1
75080,2016,Sun,1
75080,2016,Thu,1
75080,2016,Wed,1
75080,2017,Mon,1
75081,2015,Mon,1
75081,2015,Tue,2
75088,2014,Fri,1
75088,2014,Wed,1
75088,2015,Fri,2
75088,2015,Mon,2
75088,2015,Sat,6
75088,2015,Sun,4
75088,2015,Thu,2
75088,2015,Tue,2
75088,2015,Wed,4
75088,2016,Fri,1
75088,2016,Mon,2
75088,2016,Sun,2
75088,2016,Thu,1
75088,2016,Tue,1
75089,2015,Fri,3
75089,2015,Mon,2
75089,2015,Sat,2
75089,2015,Sun,4
75089,2015,Thu,3
75089,2015,Wed,1
75115,2015,Fri,1
75115,2015,Mon,2
75115,2015,Sat,1
75115,2015,Sun,3
75115,2015,Thu,1
75115,2015,Tue,4
75116,2015,Fri,3
75116,2015,Mon,3
75116,2015,Sat,4
75116,2015,Sun,2
75116,2015,Thu,1
75116,2015,Tue,10
75116,2015,Wed,5
75116,2016,Fri,3
75116,2016,Mon,3
75116,2016,Sat,2
75116,2016,Sun,3
75116,2016,Thu,8
75116,2016,Tue,3
75116,2016,Wed,3
75116,2017,Fri,1
75116,2017,Mon,1
75126,2015,Mon,1
75126,2016,Fri,1
75137,2015,Fri,1
75137,2015,Sat,1
75149,2015,Fri,1
75149,2015,Sat,1
75149,2015,Sun,3
75149,2015,Thu,1
75149,2015,Tue,4
75149,2016,Fri,2
75149,2016,Sun,1
75150,2015,Mon,2
75150,2015,Sun,2
75150,2015,Thu,5
75150,2015,Wed,3
75150,2017,Mon,1
75154,2015,Sun,1
75154,2015,Tue,1
75154,2015,Wed,1
75159,2015,Fri,1
75159,2015,Sun,2
75159,2015,Thu,1
75159,2016,Mon,1
75159,2016,Sat,1
75159,2016,Sun,1
75181,2015,Fri,1
75181,2015,Sat,1
75181,2015,Sun,1
75181,2015,Tue,1
75204,2014,Mon,2
75204,2014,Thu,2
75204,2014,Tue,2
75204,2015,Fri,376
75204,2015,Mon,285
75204,2015,Sat,387
75204,2015,Sun,401
75204,2015,Thu,341
75204,2015,Tue,307
75204,2015,Wed,332
75204,2016,Fri,470
75204,2016,Mon,441
75204,2016,Sat,498
75204,2016,Sun,428
75204,2016,Thu,373
75204,2016,Tue,383
75204,2016,Wed,418
75204,2017,Fri,61
75204,2017,Mon,51
75204,2017,Sat,54
75204,2017,Sun,61
75204,2017,Thu,36
75204,2017,Tue,55
75204,2017,Wed,54
75206,2014,Sat,2
75206,2014,Thu,1
75206,2014,Tue,1
75206,2014,Wed,1
75206,2015,Fri,299
75206,2015,Mon,279
75206,2015,Sat,343
75206,2015,Sun,302
75206,2015,Thu,309
75206,2015,Tue,264
75206,2015,Wed,305
75206,2016,Fri,384
75206,2016,Mon,361
75206,2016,Sat,367
75206,2016,Sun,319
75206,2016,Thu,351
75206,2016,Tue,330
75206,2016,Wed,327
75206,2017,Fri,37
75206,2017,Mon,46
75206,2017,Sat,39
75206,2017,Sun,49
75206,2017,Thu,54
75206,2017,Tue,61
75206,2017,Wed,44
75208,2013,Mon,1
75208,2014,Fri,2
75208,2014,Mon,1
75208,2014,Sun,2
75208,2014,Thu,1
75208,2015,Fri,253
75208,2015,Mon,235
75208,2015,Sat,260
75208,2015,Sun,254
75208,2015,Thu,223
75208,2015,Tue,241
75208,2015,Wed,238
75208,2016,Fri,302
75208,2016,Mon,262
75208,2016,Sat,270
75208,2016,Sun,299
75208,2016,Thu,296
75208,2016,Tue,270
75208,2016,Wed,293
75208,2017,Fri,45
75208,2017,Mon,41
75208,2017,Sat,34
75208,2017,Sun,36
75208,2017,Thu,34
75208,2017,Tue,43
75208,2017,Wed,25
75218,2011,Sat,1
75218,2013,Thu,1
75218,2014,Sat,1
75218,2014,Sun,1
75218,2014,Thu,1
75218,2015,Fri,155
75218,2015,Mon,138
75218,2015,Sat,155
75218,2015,Sun,113
75218,2015,Thu,166
75218,2015,Tue,147
75218,2015,Wed,138
75218,2016,Fri,180
75218,2016,Mon,177
75218,2016,Sat,185
75218,2016,Sun,163
75218,2016,Thu,158
75218,2016,Tue,185
75218,2016,Wed,182
75218,2017,Fri,27
75218,2017,Mon,26
75218,2017,Sat,22
75218,2017,Sun,20
75218,2017,Thu,12
75218,2017,Tue,24
75218,2017,Wed,21
75220,2007,Tue,1
75220,2014,Fri,1
75220,2014,Mon,2
75220,2014,Sat,1
75220,2014,Sun,1
75220,2014,Thu,3
75220,2014,Tue,1
75220,2014,Wed,2
75220,2015,Fri,562
75220,2015,Mon,432
75220,2015,Sat,552
75220,2015,Sun,553
75220,2015,Thu,437
75220,2015,Tue,438
75220,2015,Wed,373
75220,2016,Fri,659
75220,2016,Mon,556
75220,2016,Sat,666
75220,2016,Sun,693
75220,2016,Thu,507
75220,2016,Tue,508
75220,2016,Wed,514
75220,2017,Fri,92
75220,2017,Mon,75
75220,2017,Sat,84
75220,2017,Sun,85
75220,2017,Thu,81
75220,2017,Tue,71
75220,2017,Wed,69
75223,2015,Fri,124
75223,2015,Mon,103
75223,2015,Sat,136
75223,2015,Sun,137
75223,2015,Thu,137
75223,2015,Tue,108
75223,2015,Wed,125
75223,2016,Fri,142
75223,2016,Mon,148
75223,2016,Sat,167
75223,2016,Sun,159
75223,2016,Thu,167
75223,2016,Tue,139
75223,2016,Wed,144
75223,2017,Fri,23
75223,2017,Mon,10
75223,2017,Sat,16
75223,2017,Sun,21
75223,2017,Thu,16
75223,2017,Tue,16
75223,2017,Wed,18
75226,2014,Mon,1
75226,2014,Sat,1
75226,2014,Thu,2
75226,2014,Wed,1
75226,2015,Fri,118
75226,2015,Mon,71
75226,2015,Sat,110
75226,2015,Sun,111
75226,2015,Thu,101
75226,2015,Tue,85
75226,2015,Wed,106
75226,2016,Fri,125
75226,2016,Mon,131
75226,2016,Sat,140
75226,2016,Sun,159
75226,2016,Thu,112
75226,2016,Tue,124
75226,2016,Wed,127
75226,2017,Fri,23
75226,2017,Mon,18
75226,2017,Sat,20
75226,2017,Sun,22
75226,2017,Thu,16
75226,2017,Tue,17
75226,2017,Wed,18
75231,2013,Fri,1
75231,2014,Mon,2
75231,2014,Sat,1
75231,2014,Sun,2
75231,2014,Thu,2
75231,2014,Wed,2
75231,2015,Fri,405
75231,2015,Mon,374
75231,2015,Sat,408
75231,2015,Sun,335
75231,2015,Thu,335
75231,2015,Tue,380
75231,2015,Wed,359
75231,2016,Fri,477
75231,2016,Mon,449
75231,2016,Sat,501
75231,2016,Sun,461
75231,2016,Thu,407
75231,2016,Tue,473
75231,2016,Wed,443
75231,2017,Fri,51
75231,2017,Mon,64
75231,2017,Sat,52
75231,2017,Sun,76
75231,2017,Thu,49
75231,2017,Tue,53
75231,2017,Wed,39
75234,2014,Wed,1
75234,2015,Fri,42
75234,2015,Mon,29
75234,2015,Sat,34
75234,2015,Sun,35
75234,2015,Thu,40
75234,2015,Tue,43
75234,2015,Wed,40
75234,2016,Fri,43
75234,2016,Mon,53
75234,2016,Sat,38
75234,2016,Sun,34
75234,2016,Thu,45
75234,2016,Tue,41
75234,2016,Wed,52
75234,2017,Fri,10
75234,2017,Mon,12
75234,2017,Sat,6
75234,2017,Sun,5
75234,2017,Thu,6
75234,2017,Tue,4
75234,2017,Wed,11
75238,2012,Thu,1
75238,2014,Fri,1
75238,2014,Sat,2
75238,2014,Tue,2
75238,2014,Wed,1
75238,2015,Fri,215
75238,2015,Mon,223
75238,2015,Sat,199
75238,2015,Sun,235
75238,2015,Thu,198
75238,2015,Tue,204
75238,2015,Wed,212
75238,2016,Fri,276
75238,2016,Mon,250
75238,2016,Sat,281
75238,2016,Sun,251
75238,2016,Thu,257
75238,2016,Tue,258
75238,2016,Wed,268
75238,2017,Fri,37
75238,2017,Mon,31
75238,2017,Sat,29
75238,2017,Sun,37
75238,2017,Thu,34
75238,2017,Tue,35
75238,2017,Wed,43
75240,2014,Mon,1
75240,2014,Sun,1
75240,2014,Thu,3
75240,2015,Fri,297
75240,2015,Mon,229
75240,2015,Sat,281
75240,2015,Sun,238
75240,2015,Thu,252
75240,2015,Tue,234
75240,2015,Wed,228
75240,2016,Fri,379
75240,2016,Mon,302
75240,2016,Sat,334
75240,2016,Sun,290
75240,2016,Thu,299
75240,2016,Tue,322
75240,2016,Wed,296
75240,2017,Fri,38
75240,2017,Mon,40
75240,2017,Sat,44
75240,2017,Sun,39
75240,2017,Thu,27
75240,2017,Tue,37
75240,2017,Wed,38
75249,2014,Tue,1
75249,2015,Fri,59
75249,2015,Mon,68
75249,2015,Sat,60
75249,2015,Sun,56
75249,2015,Thu,52
75249,2015,Tue,64
75249,2015,Wed,61
75249,2016,Fri,77
75249,2016,Mon,100
75249,2016,Sat,71
75249,2016,Sun,83
75249,2016,Thu,81
75249,2016,Tue,74
75249,2016,Wed,69
75249,2017,Fri,12
75249,2017,Mon,8
75249,2017,Sat,3
75249,2017,Sun,11
75249,2017,Thu,5
75249,2017,Tue,10
75249,2017,Wed,11
75251,2014,Fri,1
75251,2014,Sun,1
75251,2014,Tue,1
75251,2015,Fri,56
75251,2015,Mon,69
75251,2015,Sat,49
75251,2015,Sun,41
75251,2015,Thu,43
75251,2015,Tue,56
75251,2015,Wed,65
75251,2016,Fri,84
75251,2016,Mon,77
75251,2016,Sat,60
75251,2016,Sun,65
75251,2016,Thu,65
75251,2016,Tue,88
75251,2016,Wed,73
75251,2017,Fri,17
75251,2017,Mon,10
75251,2017,Sat,10
75251,2017,Sun,11
75251,2017,Thu,5
75251,2017,Tue,10
75251,2017,Wed,5
75252,2013,Mon,1
75252,2014,Fri,1
75252,2014,Mon,1
75252,2014,Sat,1
75252,2014,Sun,1
75252,2014,Thu,1
75252,2014,Tue,1
75252,2014,Wed,1
75252,2015,Fri,79
75252,2015,Mon,88
75252,2015,Sat,74
75252,2015,Sun,58
75252,2015,Thu,91
75252,2015,Tue,100
75252,2015,Wed,77
75252,2016,Fri,104
75252,2016,Mon,97
75252,2016,Sat,95
75252,2016,Sun,96
75252,2016,Thu,101
75252,2016,Tue,95
75252,2016,Wed,109
75252,2017,Fri,12
75252,2017,Mon,22
75252,2017,Sat,8
75252,2017,Sun,22
