a.zip_code,a.ucr_offense_description,a.est,_c3
75201,AGGRAVATED ASSAULT,2086,35
75201,ACCIDENTAL INJURY,2086,59
75201,TRAFFIC FATALITY,2086,2
75201,THEFT,2086,782
75201,SUDDEN DEATH,2086,21
75201,ROBBERY,2086,48
75201,OTHER OFFENSES,2086,80
75201,OCCUPATIONAL ACCIDENT,2086,2
75201,NARCOTICS/DRUGS,2086,6
75201,MURDER,2086,1
75201,MOTOR VEHICLE ACCIDENT,2086,253
75201,LOST PROPERTY,2086,79
75201,INTOXICATION MANSLAUGHTER,2086,1
75201,HOME ACCIDENT,2086,3
75201,FRAUD,2086,37
75201,FOUND PROPERTY,2086,173
75201,FORGERY & COUNTERFEIT,2086,16
75201,FIREARMS ACCIDENT,2086,2
75201,EMBEZZLEMENT,2086,24
75201,DWI,2086,27
75201,DISORDERLY CONDUCT,2086,25
75201,CRIMINAL MISCHIEF/VANDALISM,2086,259
75201,CHILD (OFFENSES AGAINST),2086,3
75201,BURGLARY,2086,142
75201,AUTO THEFT - UUMV,2086,134
75201,ASSAULT,2086,157
75201,ARSON,2086,3
75201,ANIMAL BITE,2086,3
75006,BURGLARY,2044,2
75006,THEFT,2044,3
75074,FOUND PROPERTY,1882,2
75074,LOST PROPERTY,1882,1
75080,FOUND PROPERTY,1685,1
75080,OTHER OFFENSES,1685,1
75080,THEFT,1685,1
75080,MOTOR VEHICLE ACCIDENT,1685,1
75080,BURGLARY,1685,3
75080,CRIMINAL MISCHIEF/VANDALISM,1685,1
75229,NARCOTICS/DRUGS,1669,10
75229,MURDER,1669,2
75229,MOTOR VEHICLE ACCIDENT,1669,297
75229,LOST PROPERTY,1669,29
75229,HOME ACCIDENT,1669,10
75229,WEAPONS,1669,1
75229,FRAUD,1669,41
75229,FOUND PROPERTY,1669,374
75229,FORGERY & COUNTERFEIT,1669,30
75229,FIREARMS ACCIDENT,1669,2
75229,EMBEZZLEMENT,1669,44
75229,DWI,1669,10
75229,DISORDERLY CONDUCT,1669,20
75229,CRIMINAL MISCHIEF/VANDALISM,1669,320
75229,CHILD (OFFENSES AGAINST),1669,1
75229,BURGLARY,1669,492
75229,AUTO THEFT - UUMV,1669,285
75229,ASSAULT,1669,109
75229,ARSON,1669,7
75229,ANIMAL BITE,1669,5
75229,AGGRAVATED ASSAULT,1669,37
75229,ACCIDENTAL INJURY,1669,44
75229,THEFT,1669,1013
75229,TRAFFIC FATALITY,1669,3
75229,SUDDEN DEATH,1669,29
75229,ROBBERY,1669,114
75229,OTHER OFFENSES,1669,45
75229,OCCUPATIONAL ACCIDENT,1669,1
75001,LOST PROPERTY,1663,1
75001,FOUND PROPERTY,1663,1
75081,ASSAULT,1662,1
75081,FORGERY & COUNTERFEIT,1662,1
75081,THEFT,1662,1
75024,THEFT,1661,1
75240,ANIMAL BITE,1634,3
75240,AGGRAVATED ASSAULT,1634,22
75240,ACCIDENTAL INJURY,1634,28
75240,'FRAUD,1634,1
75240,WEAPONS,1634,2
75240,TRAFFIC FATALITY,1634,2
75240,THEFT,1634,1053
75240,SUDDEN DEATH,1634,21
75240,ROBBERY,1634,98
75240,OTHER OFFENSES,1634,46
75240,NARCOTICS/DRUGS,1634,17
75240,MURDER,1634,2
75240,MOTOR VEHICLE ACCIDENT,1634,319
75240,LOST PROPERTY,1634,33
75240,HOME ACCIDENT,1634,17
75240,FRAUD,1634,27
75240,FOUND PROPERTY,1634,234
75240,FORGERY & COUNTERFEIT,1634,18
75240,EMBEZZLEMENT,1634,40
75240,DWI,1634,10
75240,DISORDERLY CONDUCT,1634,29
75240,CRIMINAL MISCHIEF/VANDALISM,1634,474
75240,CHILD (OFFENSES AGAINST),1634,2
75240,BURGLARY,1634,280
75240,AUTO THEFT - UUMV,1634,182
75240,ASSAULT,1634,83
75240,ARSON,1634,3
75225,AGGRAVATED ASSAULT,1624,2
75225,ACCIDENTAL INJURY,1624,8
75225,ARSON,1624,4
75225,ASSAULT,1624,22
75225,AUTO THEFT - UUMV,1624,58
75225,BURGLARY,1624,62
75225,CRIMINAL MISCHIEF/VANDALISM,1624,68
75225,DISORDERLY CONDUCT,1624,6
75225,DWI,1624,5
75225,EMBEZZLEMENT,1624,43
75225,FORGERY & COUNTERFEIT,1624,13
75225,FOUND PROPERTY,1624,43
75225,FRAUD,1624,29
75225,HOME ACCIDENT,1624,4
75225,LOST PROPERTY,1624,15
75225,MOTOR VEHICLE ACCIDENT,1624,117
75225,OTHER OFFENSES,1624,20
75225,ROBBERY,1624,11
75225,SUDDEN DEATH,1624,16
75225,THEFT,1624,626
75225,TRAFFIC FATALITY,1624,1
75206,ANIMAL BITE,1554,5
75206,ACCIDENTAL INJURY,1554,48
75206,AGGRAVATED ASSAULT,1554,17
75206,WEAPONS,1554,1
75206,TRAFFIC FATALITY,1554,1
75206,THEFT,1554,1342
75206,SUDDEN DEATH,1554,28
75206,ROBBERY,1554,97
75206,OTHER OFFENSES,1554,75
75206,OCCUPATIONAL ACCIDENT,1554,1
75206,NARCOTICS/DRUGS,1554,9
75206,MOTOR VEHICLE ACCIDENT,1554,405
75206,LOST PROPERTY,1554,53
75206,INTOXICATION MANSLAUGHTER,1554,1
75206,HOME ACCIDENT,1554,16
75206,FRAUD,1554,46
75206,FOUND PROPERTY,1554,231
75206,FORGERY & COUNTERFEIT,1554,36
75206,FIREARMS ACCIDENT,1554,1
75206,EMBEZZLEMENT,1554,20
75206,DWI,1554,29
75206,DISORDERLY CONDUCT,1554,34
75206,CRIMINAL MISCHIEF/VANDALISM,1554,338
75206,CHILD (OFFENSES AGAINST),1554,3
75206,BURGLARY,1554,329
75206,AUTO THEFT - UUMV,1554,225
75206,ASSAULT,1554,76
75206,ARSON,1554,2
75243,AGGRAVATED ASSAULT,1540,87
75243,ANIMAL BITE,1540,8
75243,ARSON,1540,10
75243,ASSAULT,1540,276
75243,AUTO THEFT - UUMV,1540,434
75243,WEAPONS,1540,8
75243,TRAFFIC FATALITY,1540,8
75243,THEFT,1540,1597
75243,SUDDEN DEATH,1540,62
75243,ROBBERY,1540,283
75243,OTHER OFFENSES,1540,187
