a.zip_code,a.ucr_offense_description,a.watch,a.est,_c4
75201,NARCOTICS/DRUGS,2,2086,1
75201,OTHER OFFENSES,1,2086,6
75201,OTHER OFFENSES,2,2086,5
75201,OTHER OFFENSES,3,2086,6
75201,ROBBERY,1,2086,15
75201,ROBBERY,2,2086,4
75201,ROBBERY,3,2086,4
75201,SUDDEN DEATH,1,2086,2
75201,SUDDEN DEATH,2,2086,2
75201,SUDDEN DEATH,3,2086,1
75201,SUDDEN DEATH,U,2086,1
75201,THEFT,1,2086,114
75201,THEFT,2,2086,64
75201,THEFT,3,2086,72
75201,THEFT,U,2086,78
75201,WEAPONS,1,2086,1
75201,NARCOTICS/DRUGS,3,2086,2
75201,ACCIDENTAL INJURY,1,2086,20
75201,ACCIDENTAL INJURY,2,2086,5
75201,ACCIDENTAL INJURY,3,2086,7
75201,ACCIDENTAL INJURY,U,2086,1
75201,AGGRAVATED ASSAULT,1,2086,11
75201,AGGRAVATED ASSAULT,2,2086,3
75201,AGGRAVATED ASSAULT,3,2086,6
75201,ANIMAL BITE,2,2086,1
75201,ANIMAL BITE,3,2086,1
75201,ASSAULT,1,2086,67
75201,ASSAULT,2,2086,19
75201,ASSAULT,3,2086,32
75201,ASSAULT,U,2086,1
75201,AUTO THEFT - UUMV,1,2086,32
75201,AUTO THEFT - UUMV,2,2086,9
75201,AUTO THEFT - UUMV,3,2086,20
75201,AUTO THEFT - UUMV,U,2086,17
75201,BURGLARY,1,2086,17
75201,BURGLARY,2,2086,4
75201,BURGLARY,3,2086,8
75201,BURGLARY,U,2086,17
75201,CRIMINAL MISCHIEF/VANDALISM,1,2086,51
75201,CRIMINAL MISCHIEF/VANDALISM,2,2086,17
75201,CRIMINAL MISCHIEF/VANDALISM,3,2086,32
75201,CRIMINAL MISCHIEF/VANDALISM,U,2086,23
75201,DISORDERLY CONDUCT,3,2086,1
75201,DISORDERLY CONDUCT,U,2086,2
75201,DWI,1,2086,10
75201,DWI,2,2086,2
75201,DWI,3,2086,10
75201,DWI,U,2086,1
