a.zip_code,a.ucr_offense_description,a.watch,a.est,_c4
75201,ANIMAL BITE,3,2086,2
75201,ACCIDENTAL INJURY,3,2086,20
75201,AGGRAVATED ASSAULT,1,2086,13
75201,AGGRAVATED ASSAULT,2,2086,9
75201,AGGRAVATED ASSAULT,3,2086,12
75201,AGGRAVATED ASSAULT,U,2086,1
75201,ANIMAL BITE,2,2086,1
75201,ACCIDENTAL INJURY,2,2086,18
75201,ACCIDENTAL INJURY,1,2086,21
75201,TRAFFIC FATALITY,2,2086,2
75201,THEFT,U,2086,163
75201,THEFT,3,2086,175
75201,THEFT,2,2086,216
75201,THEFT,1,2086,229
75201,SUDDEN DEATH,U,2086,5
75201,SUDDEN DEATH,3,2086,3
75201,SUDDEN DEATH,2,2086,6
75201,SUDDEN DEATH,1,2086,7
75201,ROBBERY,3,2086,21
75201,ROBBERY,2,2086,10
75201,ROBBERY,1,2086,17
75201,OTHER OFFENSES,3,2086,37
75201,OTHER OFFENSES,2,2086,26
75201,OTHER OFFENSES,1,2086,17
75201,OCCUPATIONAL ACCIDENT,U,2086,1
75201,OCCUPATIONAL ACCIDENT,3,2086,1
75201,NARCOTICS/DRUGS,3,2086,2
75201,NARCOTICS/DRUGS,2,2086,3
75201,NARCOTICS/DRUGS,1,2086,1
75201,MURDER,3,2086,1
75201,MOTOR VEHICLE ACCIDENT,U,2086,2
75201,MOTOR VEHICLE ACCIDENT,3,2086,111
75201,MOTOR VEHICLE ACCIDENT,2,2086,87
75201,MOTOR VEHICLE ACCIDENT,1,2086,53
75201,LOST PROPERTY,U,2086,19
75201,LOST PROPERTY,3,2086,19
75201,LOST PROPERTY,2,2086,20
75201,LOST PROPERTY,1,2086,21
75201,INTOXICATION MANSLAUGHTER,3,2086,1
75201,HOME ACCIDENT,3,2086,2
75201,HOME ACCIDENT,2,2086,1
75201,FRAUD,U,2086,15
75201,FRAUD,3,2086,7
75201,FRAUD,2,2086,8
75201,FRAUD,1,2086,7
75201,FOUND PROPERTY,U,2086,15
75201,FOUND PROPERTY,3,2086,51
75201,FOUND PROPERTY,2,2086,71
