a.ucr_offense_description,a.month1_of_occurence,a.year1_of_occurrence,a.complainant_gender,_c4
ACCIDENTAL INJURY,April,2015,,2
ACCIDENTAL INJURY,April,2015,F,20
ACCIDENTAL INJURY,April,2015,M,34
ACCIDENTAL INJURY,April,2016,,3
ACCIDENTAL INJURY,April,2016,F,27
ACCIDENTAL INJURY,April,2016,M,43
ACCIDENTAL INJURY,August,2015,,2
ACCIDENTAL INJURY,August,2015,F,16
ACCIDENTAL INJURY,August,2015,M,37
ACCIDENTAL INJURY,August,2016,,6
ACCIDENTAL INJURY,August,2016,F,25
ACCIDENTAL INJURY,August,2016,M,51
ACCIDENTAL INJURY,December,2015,,1
ACCIDENTAL INJURY,December,2015,F,19
ACCIDENTAL INJURY,December,2015,M,29
ACCIDENTAL INJURY,December,2016,F,20
ACCIDENTAL INJURY,December,2016,M,27
ACCIDENTAL INJURY,February,2015,F,8
ACCIDENTAL INJURY,February,2015,M,13
ACCIDENTAL INJURY,February,2016,,1
ACCIDENTAL INJURY,February,2016,F,22
ACCIDENTAL INJURY,February,2016,M,41
ACCIDENTAL INJURY,February,2017,,1
ACCIDENTAL INJURY,February,2017,F,16
ACCIDENTAL INJURY,February,2017,M,18
ACCIDENTAL INJURY,January,2015,M,1
ACCIDENTAL INJURY,January,2016,F,18
ACCIDENTAL INJURY,January,2016,M,41
ACCIDENTAL INJURY,January,2017,,1
ACCIDENTAL INJURY,January,2017,F,11
ACCIDENTAL INJURY,January,2017,M,27
ACCIDENTAL INJURY,July,2015,,1
ACCIDENTAL INJURY,July,2015,F,34
ACCIDENTAL INJURY,July,2015,M,40
ACCIDENTAL INJURY,July,2016,,4
ACCIDENTAL INJURY,July,2016,F,29
ACCIDENTAL INJURY,July,2016,M,51
ACCIDENTAL INJURY,June,2015,,1
ACCIDENTAL INJURY,June,2015,F,30
ACCIDENTAL INJURY,June,2015,M,40
ACCIDENTAL INJURY,June,2016,,4
ACCIDENTAL INJURY,June,2016,F,29
ACCIDENTAL INJURY,June,2016,M,44
ACCIDENTAL INJURY,March,2015,,2
ACCIDENTAL INJURY,March,2015,F,18
ACCIDENTAL INJURY,March,2015,M,34
ACCIDENTAL INJURY,March,2016,,5
ACCIDENTAL INJURY,March,2016,F,30
ACCIDENTAL INJURY,March,2016,M,53
ACCIDENTAL INJURY,May,2015,,2
ACCIDENTAL INJURY,May,2015,F,23
ACCIDENTAL INJURY,May,2015,M,37
ACCIDENTAL INJURY,May,2016,,2
ACCIDENTAL INJURY,May,2016,F,22
ACCIDENTAL INJURY,May,2016,M,48
ACCIDENTAL INJURY,November,2015,,2
ACCIDENTAL INJURY,November,2015,F,18
ACCIDENTAL INJURY,November,2015,M,41
ACCIDENTAL INJURY,November,2016,,1
ACCIDENTAL INJURY,November,2016,F,17
ACCIDENTAL INJURY,November,2016,M,38
ACCIDENTAL INJURY,October,2015,,3
ACCIDENTAL INJURY,October,2015,F,30
ACCIDENTAL INJURY,October,2015,M,28
ACCIDENTAL INJURY,October,2016,,3
ACCIDENTAL INJURY,October,2016,F,23
ACCIDENTAL INJURY,October,2016,M,48
ACCIDENTAL INJURY,September,2015,,3
ACCIDENTAL INJURY,September,2015,F,29
ACCIDENTAL INJURY,September,2015,M,30
ACCIDENTAL INJURY,September,2016,,4
ACCIDENTAL INJURY,September,2016,F,20
ACCIDENTAL INJURY,September,2016,M,48
AGGRAVATED ASSAULT,April,2015,F,17
AGGRAVATED ASSAULT,April,2015,M,55
AGGRAVATED ASSAULT,April,2016,F,27
AGGRAVATED ASSAULT,April,2016,M,57
AGGRAVATED ASSAULT,August,2015,F,32
AGGRAVATED ASSAULT,August,2015,M,71
AGGRAVATED ASSAULT,August,2016,F,26
AGGRAVATED ASSAULT,August,2016,M,50
AGGRAVATED ASSAULT,December,2015,,1
AGGRAVATED ASSAULT,December,2015,F,18
AGGRAVATED ASSAULT,December,2015,M,73
AGGRAVATED ASSAULT,December,2016,F,25
AGGRAVATED ASSAULT,December,2016,M,70
AGGRAVATED ASSAULT,February,2015,,2
AGGRAVATED ASSAULT,February,2015,F,8
AGGRAVATED ASSAULT,February,2015,M,24
AGGRAVATED ASSAULT,February,2016,,1
AGGRAVATED ASSAULT,February,2016,F,23
AGGRAVATED ASSAULT,February,2016,M,45
AGGRAVATED ASSAULT,February,2017,F,21
AGGRAVATED ASSAULT,February,2017,M,54
AGGRAVATED ASSAULT,January,2016,F,26
AGGRAVATED ASSAULT,January,2016,M,63
AGGRAVATED ASSAULT,January,2017,F,30
AGGRAVATED ASSAULT,January,2017,M,72
AGGRAVATED ASSAULT,July,2015,F,34
AGGRAVATED ASSAULT,July,2015,M,60
AGGRAVATED ASSAULT,July,2016,F,41
AGGRAVATED ASSAULT,July,2016,M,75
AGGRAVATED ASSAULT,June,2015,F,32
AGGRAVATED ASSAULT,June,2015,M,68
AGGRAVATED ASSAULT,June,2016,F,37
AGGRAVATED ASSAULT,June,2016,M,67
AGGRAVATED ASSAULT,March,2015,F,25
AGGRAVATED ASSAULT,March,2015,M,52
AGGRAVATED ASSAULT,March,2016,F,17
AGGRAVATED ASSAULT,March,2016,M,52
AGGRAVATED ASSAULT,May,2015,F,29
AGGRAVATED ASSAULT,May,2015,M,54
AGGRAVATED ASSAULT,May,2016,,1
AGGRAVATED ASSAULT,May,2016,F,21
AGGRAVATED ASSAULT,May,2016,M,65
AGGRAVATED ASSAULT,November,2015,F,21
AGGRAVATED ASSAULT,November,2015,M,44
AGGRAVATED ASSAULT,November,2016,F,27
AGGRAVATED ASSAULT,November,2016,M,54
AGGRAVATED ASSAULT,October,2015,F,27
AGGRAVATED ASSAULT,October,2015,M,62
AGGRAVATED ASSAULT,October,2015,U,1
AGGRAVATED ASSAULT,October,2016,F,41
AGGRAVATED ASSAULT,October,2016,M,74
AGGRAVATED ASSAULT,September,2015,F,19
AGGRAVATED ASSAULT,September,2015,M,45
AGGRAVATED ASSAULT,September,2016,F,34
AGGRAVATED ASSAULT,September,2016,M,60
AIRPLANE,September,2015,,1
ANIMAL BITE,April,2015,F,4
ANIMAL BITE,April,2015,M,9
ANIMAL BITE,April,2016,F,8
ANIMAL BITE,April,2016,M,10
ANIMAL BITE,August,2015,F,6
ANIMAL BITE,August,2015,M,6
ANIMAL BITE,August,2016,F,11
ANIMAL BITE,August,2016,M,19
ANIMAL BITE,December,2015,F,4
ANIMAL BITE,December,2015,M,7
