a.zip_code,a.complainant_gender,_c2
75001,,2
75001,M,2
75006,,4
75006,F,1
75006,M,2
75007,F,3
75007,M,1
75019,,16
75019,F,13
75019,M,27
75024,M,1
75032,F,1
75040,,3
75040,F,4
75040,M,6
75041,,1
75042,,15
75042,F,5
75042,M,3
75043,,2
75043,F,2
75043,M,5
75048,F,1
75048,M,2
75050,M,1
75051,,22
75051,F,33
75051,M,39
75052,,4
75052,F,2
75052,M,6
75060,F,1
75060,M,3
75062,,1
75062,M,4
75074,,3
75075,M,1
75080,,6
75080,F,1
75080,M,3
75081,F,1
75081,M,2
75082,F,1
75087,M,1
75088,,8
75088,F,5
75088,M,19
75089,,8
75089,F,4
75089,M,3
75115,,5
75115,F,3
75115,M,4
75116,,15
75116,F,20
75116,M,22
75126,F,1
75126,M,1
75134,,20
75134,F,13
75134,M,13
75137,,1
75137,F,1
75149,,7
75149,F,4
75149,M,3
75150,,9
75150,F,1
75150,M,4
75154,,2
75154,M,1
75159,,2
75159,F,3
75159,M,2
75180,,4
75180,M,1
75181,F,2
75181,M,2
75201,,1062
75201,F,988
75201,M,1490
75203,,1246
75203,F,875
75203,M,1039
75203,U,2
75204,,1614
75204,F,1890
75204,M,2446
75204,TEST,1
75204,U,1
75205,,179
75205,F,174
75205,M,187
75206,,1477
75206,F,1532
75206,M,1975
75206,U,1
75208,,1339
75208,F,1198
75208,M,1541
75208,U,3
75209,,532
75209,F,459
75209,M,636
75211,,2778
75211,F,2262
75211,M,2594
75211,TEST,1
75211,U,3
75212,,1537
75212,F,1009
75212,M,1031
75212,U,4
75214,,743
75214,F,976
75214,M,1141
75215,,2018
75215,F,1701
75215,M,1824
75215,U,1
75216,,3061
75216,F,3010
75216,M,3035
75216,U,2
75217,,3990
75217,F,3598
75217,M,3642
75217,U,4
75218,,771
75218,F,804
75218,M,893
75219,,971
75219,F,938
75219,M,1453
75220,,2963
75220,F,2316
75220,M,3014
75220,TEST,1
75220,U,4
75223,,806
75223,F,582
75223,M,749
75223,U,1
75224,,1461
75224,F,1504
75224,M,1534
75225,,729
75225,F,535
75225,M,441
75225,U,1
75227,,2293
75227,F,2437
75227,M,2514
75227,U,3
75229,,1877
75229,F,1131
75229,M,1802
75229,TEST,1
75229,U,3
75230,,412
75230,F,648
75230,M,669
75230,U,2
75231,,1956
75231,F,2000
75231,M,2431
75231,U,3
75232,,1233
75232,F,1205
75232,M,1157
75232,TEST,1
75232,U,31
75233,,522
75233,F,624
75233,M,660
75233,U,1
75234,,252
75234,F,172
75234,M,217
75235,,1217
75235,F,871
75235,M,1111
75235,TEST,1
75235,U,2
75236,,648
75236,F,657
75236,M,612
75236,U,1
75237,,1775
75237,F,1915
75237,M,1387
75237,U,1
75238,,1270
75238,F,1099
75238,M,1339
75238,U,1
75240,,1376
75240,F,1350
75240,M,1668
75240,U,1
75241,,1886
75241,F,1712
75241,M,1696
75241,U,2
75243,,2983
75243,F,3144
75243,M,3388
75243,U,4
75244,,332
75244,F,311
75244,M,337
75248,,513
75248,F,670
75248,M,736
75249,,299
75249,F,418
75249,M,351
75252,,399
75252,F,417
75252,M,590
75253,,719
75253,F,602
75253,M,710
75254,,576
75254,F,741
75254,M,831
75287,,1017
75287,F,1527
75287,M,1552
75287,U,2
76018,,1
,,
a.zip_code,a.complainant_gender,_c2
75141,M,1
75182,,1
75202,,694
75202,F,623
75202,M,883
75207,,795
75207,F,470
75207,M,749
75207,U,3
75210,,792
75210,F,765
75210,M,772
75210,U,3
75226,,660
75226,F,478
75226,M,680
75246,,162
75246,F,150
75246,M,194
75246,U,1
75247,,1201
75247,F,427
75247,M,768
75251,,344
75251,F,276
75251,M,363
