zip_code,watch,ucr_offense_description,c3
NULL,1,ACCIDENTAL INJURY,4
NULL,1,AGGRAVATED ASSAULT,6
NULL,1,ASSAULT,17
NULL,1,AUTO THEFT - UUMV,1
NULL,1,BURGLARY,10
NULL,1,CRIMINAL MISCHIEF/VANDALISM,38
NULL,1,DISORDERLY CONDUCT,1
NULL,1,DWI,3
NULL,1,FOUND PROPERTY,6
NULL,1,FRAUD,2
NULL,1,LOST PROPERTY,2
NULL,1,MOTOR VEHICLE ACCIDENT,11
NULL,1,MURDER,1
NULL,1,NARCOTICS/DRUGS,1
NULL,1,OTHER OFFENSES,5
NULL,1,ROBBERY,10
NULL,1,SUDDEN DEATH,5
NULL,1,THEFT,75
NULL,1,TRAFFIC FATALITY,1
NULL,2,ACCIDENTAL INJURY,8
NULL,2,AGGRAVATED ASSAULT,6
NULL,2,ASSAULT,20
NULL,2,BURGLARY,36
NULL,2,CRIMINAL MISCHIEF/VANDALISM,26
NULL,2,DISORDERLY CONDUCT,4
NULL,2,DWI,1
NULL,2,EMBEZZLEMENT,1
NULL,2,FIREARMS ACCIDENT,3
NULL,2,FORGERY & COUNTERFEIT,1
NULL,2,FOUND PROPERTY,5
NULL,2,FRAUD,1
NULL,2,HOME ACCIDENT,1
NULL,2,LOST PROPERTY,14
NULL,2,MOTOR VEHICLE ACCIDENT,36
NULL,2,MURDER,1
NULL,2,OCCUPATIONAL ACCIDENT,1
NULL,2,OTHER OFFENSES,13
NULL,2,ROBBERY,5
NULL,2,SUDDEN DEATH,3
NULL,2,THEFT,62
NULL,2,TRAFFIC FATALITY,1
NULL,3,ACCIDENTAL INJURY,6
NULL,3,AGGRAVATED ASSAULT,8
NULL,3,ANIMAL BITE,1
NULL,3,ASSAULT,32
NULL,3,AUTO THEFT - UUMV,1
NULL,3,BURGLARY,9
NULL,3,CHILD (OFFENSES AGAINST),2
NULL,3,CRIMINAL MISCHIEF/VANDALISM,32
NULL,3,DISORDERLY CONDUCT,1
NULL,3,DWI,4
NULL,3,FORGERY & COUNTERFEIT,2
NULL,3,FOUND PROPERTY,4
NULL,3,FRAUD,2
NULL,3,HOME ACCIDENT,3
NULL,3,LOST PROPERTY,13
NULL,3,MOTOR VEHICLE ACCIDENT,50
NULL,3,MURDER,1
NULL,3,OCCUPATIONAL ACCIDENT,1
NULL,3,OTHER OFFENSES,11
NULL,3,ROBBERY,8
NULL,3,SUDDEN DEATH,5
NULL,3,THEFT,40
NULL,U,AGGRAVATED ASSAULT,2
NULL,U,AUTO THEFT - UUMV,2
NULL,U,BURGLARY,21
NULL,U,CRIMINAL MISCHIEF/VANDALISM,13
NULL,U,FORGERY & COUNTERFEIT,2
NULL,U,FOUND PROPERTY,2
NULL,U,FRAUD,4
NULL,U,LOST PROPERTY,7
NULL,U,MOTOR VEHICLE ACCIDENT,3
NULL,U,SUDDEN DEATH,3
NULL,U,THEFT,36
75001,1,LOST PROPERTY,1
75001,1,MOTOR VEHICLE ACCIDENT,1
75001,3,MOTOR VEHICLE ACCIDENT,1
75001,U,FOUND PROPERTY,1
75006,1,BURGLARY,1
75006,2,BURGLARY,1
75006,3,THEFT,2
75006,U,FOUND PROPERTY,1
75006,U,OTHER OFFENSES,1
75006,U,THEFT,1
75007,1,THEFT,1
75007,2,CRIMINAL MISCHIEF/VANDALISM,1
75007,3,MOTOR VEHICLE ACCIDENT,2
75019,1,ASSAULT,1
75019,1,BURGLARY,1
75019,1,CRIMINAL MISCHIEF/VANDALISM,1
75019,1,ROBBERY,1
75019,1,THEFT,5
75019,2,ARSON,1
75019,2,AUTO THEFT - UUMV,4
75019,2,BURGLARY,3
75019,2,CHILD (OFFENSES AGAINST),1
75019,2,CRIMINAL MISCHIEF/VANDALISM,5
75019,2,DISORDERLY CONDUCT,2
75019,2,THEFT,6
75019,3,ACCIDENTAL INJURY,1
75019,3,BURGLARY,3
75019,3,OTHER OFFENSES,1
75019,3,ROBBERY,1
75019,3,THEFT,1
75019,U,AUTO THEFT - UUMV,1
75019,U,BURGLARY,14
75019,U,EMBEZZLEMENT,1
75019,U,THEFT,1
75024,3,THEFT,1
75032,2,SUDDEN DEATH,1
75040,1,ASSAULT,1
75040,1,SUDDEN DEATH,1
75040,1,THEFT,1
75040,2,BURGLARY,1
75040,2,THEFT,3
75040,3,MOTOR VEHICLE ACCIDENT,1
75040,3,OTHER OFFENSES,1
75040,3,THEFT,1
75040,U,CRIMINAL MISCHIEF/VANDALISM,1
75040,U,THEFT,2
75041,1,DWI,1
75042,1,ACCIDENTAL INJURY,1
75042,1,AUTO THEFT - UUMV,1
75042,1,BURGLARY,1
75042,1,FOUND PROPERTY,2
75042,1,MOTOR VEHICLE ACCIDENT,2
75042,1,NARCOTICS/DRUGS,1
75042,1,ROBBERY,1
75042,2,FOUND PROPERTY,1
75042,2,MOTOR VEHICLE ACCIDENT,1
75042,3,BURGLARY,1
75042,3,DWI,1
75042,3,FOUND PROPERTY,1
75042,3,MOTOR VEHICLE ACCIDENT,1
75042,3,NARCOTICS/DRUGS,1
75042,3,ROBBERY,1
75042,3,THEFT,1
75042,U,CRIMINAL MISCHIEF/VANDALISM,3
75042,U,THEFT,1
75043,1,AGGRAVATED ASSAULT,1
75043,1,LOST PROPERTY,1
75043,2,CRIMINAL MISCHIEF/VANDALISM,1
75043,2,THEFT,1
75043,3,FOUND PROPERTY,1
75043,3,OTHER OFFENSES,1
75043,3,THEFT,2
75043,U,SUDDEN DEATH,1
75048,2,BURGLARY,1
75048,3,FORGERY & COUNTERFEIT,1
75048,3,MOTOR VEHICLE ACCIDENT,1
75050,1,AGGRAVATED ASSAULT,1
75051,1,ASSAULT,1
75051,1,AUTO THEFT - UUMV,8
75051,1,BURGLARY,2
75051,1,CRIMINAL MISCHIEF/VANDALISM,10
75051,1,DISORDERLY CONDUCT,1
75051,1,THEFT,12
75051,2,ASSAULT,2
75051,2,BURGLARY,7
75051,2,CRIMINAL MISCHIEF/VANDALISM,3
75051,2,DISORDERLY CONDUCT,1
75051,2,FIREARMS ACCIDENT,1
75051,2,FOUND PROPERTY,1
75051,2,OTHER OFFENSES,1
75051,2,THEFT,4
75051,3,ASSAULT,3
75051,3,AUTO THEFT - UUMV,1
75051,3,CRIMINAL MISCHIEF/VANDALISM,6
75051,3,DISORDERLY CONDUCT,2
75051,3,FOUND PROPERTY,4
75051,3,HOME ACCIDENT,2
75051,3,OTHER OFFENSES,1
75051,3,SUDDEN DEATH,2
75051,3,THEFT,2
75051,U,AUTO THEFT - UUMV,2
75051,U,BURGLARY,4
75051,U,CRIMINAL MISCHIEF/VANDALISM,1
75051,U,FOUND PROPERTY,1
75051,U,FRAUD,2
75051,U,THEFT,6
75052,1,AGGRAVATED ASSAULT,1
75052,1,AUTO THEFT - UUMV,1
75052,1,MOTOR VEHICLE ACCIDENT,2
75052,2,AUTO THEFT - UUMV,1
75052,2,FOUND PROPERTY,1
75052,2,LOST PROPERTY,1
75052,3,ASSAULT,1
75052,3,MOTOR VEHICLE ACCIDENT,2
75052,3,OTHER OFFENSES,1
75060,2,THEFT,1
75060,3,MOTOR VEHICLE ACCIDENT,1
75060,3,ROBBERY,1
75060,U,THEFT,1
75062,1,CRIMINAL MISCHIEF/VANDALISM,1
75062,1,THEFT,1
75062,3,AUTO THEFT - UUMV,1
75062,3,THEFT,2
75074,2,FOUND PROPERTY,1
75074,3,LOST PROPERTY,1
75074,U,FOUND PROPERTY,1
75075,1,FIREARMS ACCIDENT,1
75080,1,BURGLARY,2
75080,1,CRIMINAL MISCHIEF/VANDALISM,1
75080,1,FOUND PROPERTY,1
75080,1,THEFT,1
75080,3,ASSAULT,1
75080,3,BURGLARY,1
75080,3,FOUND PROPERTY,1
75080,3,OTHER OFFENSES,1
75080,U,MOTOR VEHICLE ACCIDENT,1
75081,2,THEFT,1
75081,3,ASSAULT,1
75081,3,FORGERY & COUNTERFEIT,1
75082,3,CRIMINAL MISCHIEF/VANDALISM,1
75087,1,THEFT,1
75088,1,ASSAULT,1
75088,1,CRIMINAL MISCHIEF/VANDALISM,1
75088,1,MOTOR VEHICLE ACCIDENT,1
75088,1,THEFT,1
75088,2,CRIMINAL MISCHIEF/VANDALISM,1
75088,2,FOUND PROPERTY,4
75088,2,LOST PROPERTY,1
75088,2,SUDDEN DEATH,3
75088,2,THEFT,2
75088,3,CRIMINAL MISCHIEF/VANDALISM,2
75088,3,FOUND PROPERTY,2
75088,3,LOST PROPERTY,1
75088,3,MOTOR VEHICLE ACCIDENT,1
75088,3,SUDDEN DEATH,1
75088,3,THEFT,1
75088,U,CRIMINAL MISCHIEF/VANDALISM,2
75088,U,EMBEZZLEMENT,1
75088,U,SUDDEN DEATH,1
75088,U,THEFT,5
75089,1,CRIMINAL MISCHIEF/VANDALISM,1
75089,2,MOTOR VEHICLE ACCIDENT,1
75089,2,THEFT,5
75089,3,EMBEZZLEMENT,1
75089,3,THEFT,4
75089,U,CRIMINAL MISCHIEF/VANDALISM,1
75089,U,FRAUD,1
75089,U,THEFT,1
75115,1,FOUND PROPERTY,1
75115,1,MOTOR VEHICLE ACCIDENT,2
75115,2,ACCIDENTAL INJURY,1
75115,2,FOUND PROPERTY,2
75115,2,HOME ACCIDENT,1
75115,2,LOST PROPERTY,1
75115,2,MOTOR VEHICLE ACCIDENT,1
75115,3,CRIMINAL MISCHIEF/VANDALISM,1
75115,3,DWI,1
75115,3,MOTOR VEHICLE ACCIDENT,1
75116,1,ASSAULT,1
75116,1,AUTO THEFT - UUMV,5
75116,1,CRIMINAL MISCHIEF/VANDALISM,2
75116,1,THEFT,7
75116,2,ACCIDENTAL INJURY,1
75116,2,BURGLARY,11
75116,2,CRIMINAL MISCHIEF/VANDALISM,2
75116,2,FOUND PROPERTY,2
75116,2,ROBBERY,1
75116,2,THEFT,3
75116,3,AGGRAVATED ASSAULT,1
75116,3,AUTO THEFT - UUMV,1
75116,3,BURGLARY,2
75116,3,CRIMINAL MISCHIEF/VANDALISM,3
75116,3,DISORDERLY CONDUCT,2
75116,3,FOUND PROPERTY,1
75116,3,MURDER,1
75116,3,THEFT,3
75116,U,AUTO THEFT - UUMV,2
75116,U,BURGLARY,1
75116,U,CRIMINAL MISCHIEF/VANDALISM,1
75116,U,THEFT,3
75126,1,THEFT,1
75126,U,THEFT,1
75134,1,AGGRAVATED ASSAULT,1
75134,1,AUTO THEFT - UUMV,1
75134,1,DISORDERLY CONDUCT,1
75134,1,FOUND PROPERTY,1
75134,1,MOTOR VEHICLE ACCIDENT,3
75134,1,MURDER,1
75134,1,OTHER OFFENSES,1
75134,1,THEFT,2
75134,2,AGGRAVATED ASSAULT,1
75134,2,CRIMINAL MISCHIEF/VANDALISM,1
75134,2,FOUND PROPERTY,2
75134,2,MOTOR VEHICLE ACCIDENT,5
75134,2,THEFT,1
75134,3,AGGRAVATED ASSAULT,1
75134,3,ASSAULT,1
75134,3,AUTO THEFT - UUMV,1
75134,3,FOUND PROPERTY,6
75134,3,MOTOR VEHICLE ACCIDENT,10
75134,3,OTHER OFFENSES,1
75134,3,THEFT,1
75134,3,TRAFFIC FATALITY,1
75134,U,AUTO THEFT - UUMV,2
75134,U,CRIMINAL MISCHIEF/VANDALISM,1
75137,2,OTHER OFFENSES,1
75137,3,MOTOR VEHICLE ACCIDENT,1
75141,1,THEFT,1
75149,1,AUTO THEFT - UUMV,1
75149,1,BURGLARY,1
75149,1,FOUND PROPERTY,1
75149,1,ROBBERY,1
75149,2,ASSAULT,1
75149,2,FOUND PROPERTY,1
75149,2,MOTOR VEHICLE ACCIDENT,1
75149,3,ACCIDENTAL INJURY,1
75149,3,FORGERY & COUNTERFEIT,1
75149,3,MOTOR VEHICLE ACCIDENT,2
75149,3,OTHER OFFENSES,1
75149,U,CRIMINAL MISCHIEF/VANDALISM,1
75150,1,CRIMINAL MISCHIEF/VANDALISM,1
75150,1,FOUND PROPERTY,1
75150,1,FRAUD,1
75150,2,FOUND PROPERTY,3
75150,2,THEFT,1
75150,3,AGGRAVATED ASSAULT,1
75150,3,ASSAULT,1
75150,3,DISORDERLY CONDUCT,1
75150,3,LIQUOR,1
75150,3,NARCOTICS/DRUGS,1
75150,3,ROBBERY,1
75154,1,FOUND PROPERTY,1
75154,1,ROBBERY,1
75154,U,FRAUD,1
75159,1,AUTO THEFT - UUMV,1
75159,1,THEFT,2
75159,2,CHILD (OFFENSES AGAINST),1
75159,2,FOUND PROPERTY,1
75159,2,MOTOR VEHICLE ACCIDENT,1
75159,3,THEFT,1
75180,1,MOTOR VEHICLE ACCIDENT,1
75180,2,FOUND PROPERTY,1
75180,2,OTHER OFFENSES,1
75180,3,MOTOR VEHICLE ACCIDENT,1
75181,1,THEFT,1
75181,2,CRIMINAL MISCHIEF/VANDALISM,1
75181,3,HOME ACCIDENT,1
75181,3,THEFT,1
75182,U,CRIMINAL MISCHIEF/VANDALISM,1
75201,1,ACCIDENTAL INJURY,41
75201,1,AGGRAVATED ASSAULT,24
75201,1,ARSON,1
75201,1,ASSAULT,105
75201,1,AUTO THEFT - UUMV,74
75201,1,BURGLARY,67
75201,1,CRIMINAL MISCHIEF/VANDALISM,134
