zip_code,year1_of_occurrence,month1_of_occurence,c3
NULL,2014,December,1
NULL,2015,April,51
NULL,2015,August,29
NULL,2015,December,31
NULL,2015,February,20
NULL,2015,January,1
NULL,2015,July,39
NULL,2015,June,41
NULL,2015,March,44
NULL,2015,May,52
NULL,2015,November,23
NULL,2015,October,28
NULL,2015,September,38
NULL,2016,April,37
NULL,2016,August,24
NULL,2016,December,38
NULL,2016,February,24
NULL,2016,January,25
NULL,2016,July,28
NULL,2016,June,32
NULL,2016,March,24
NULL,2016,May,31
NULL,2016,November,28
NULL,2016,October,31
NULL,2016,September,26
NULL,2017,February,4
NULL,2017,January,20
75001,2015,July,1
75001,2015,May,1
75001,2015,October,1
75001,2016,March,1
75006,2015,April,3
75006,2015,March,1
75006,2016,March,2
75007,2015,February,1
75007,2015,March,1
75007,2015,November,1
75007,2015,October,1
75019,2015,August,3
75019,2015,December,8
75019,2015,February,1
75019,2015,January,1
75019,2015,July,2
75019,2015,June,1
75019,2015,March,1
75019,2015,May,2
75019,2015,November,2
75019,2015,October,1
75019,2015,September,2
75019,2016,August,1
75019,2016,December,5
75019,2016,February,2
75019,2016,January,8
75019,2016,July,3
75019,2016,June,4
75019,2016,May,1
75019,2016,November,1
75019,2016,October,2
75019,2016,September,1
75019,2017,February,3
75024,2015,March,1
75032,2015,May,1
75040,2015,April,5
75040,2015,June,1
75040,2015,March,3
75040,2015,May,4
75041,2015,April,1
75042,2014,August,1
75042,2015,April,10
75042,2015,May,6
75042,2016,August,1
75042,2016,January,1
75042,2016,November,1
75042,2016,September,1
75042,2017,January,1
75043,2015,August,1
75043,2015,February,1
75043,2015,May,1
75043,2015,September,1
75043,2016,July,1
75043,2016,June,1
75043,2016,March,1
75043,2016,October,1
75043,2016,September,1
75048,2015,April,1
75048,2015,March,1
75048,2015,May,1
75050,2015,June,1
75051,2015,April,5
75051,2015,August,3
75051,2015,December,3
75051,2015,February,1
75051,2015,July,2
75051,2015,June,3
75051,2015,March,8
75051,2015,May,3
75051,2015,November,9
75051,2015,October,4
75051,2015,September,8
75051,2016,April,5
75051,2016,August,4
75051,2016,December,4
75051,2016,February,2
75051,2016,January,3
75051,2016,July,2
75051,2016,June,2
75051,2016,March,6
75051,2016,May,2
75051,2016,November,5
75051,2016,September,5
75051,2017,February,2
75051,2017,January,1
75052,2015,April,3
75052,2015,February,1
75052,2015,July,1
75052,2015,March,2
75052,2015,May,1
75052,2016,February,1
75052,2016,May,1
75052,2016,November,1
75060,2015,March,1
75060,2015,May,3
75062,2015,April,2
75062,2015,May,3
75074,2015,December,1
75074,2015,July,1
75074,2016,April,1
75075,2015,March,1
75080,2015,February,1
75080,2015,June,1
75080,2015,March,1
75080,2015,November,1
75080,2016,April,1
75080,2016,December,1
75080,2016,January,1
75080,2016,June,1
75080,2016,November,1
75080,2017,January,1
75081,2015,April,1
75081,2015,August,1
75081,2015,December,1
75082,2015,May,1
75087,2015,April,1
75088,2014,August,1
75088,2014,October,1
75088,2015,April,5
75088,2015,August,4
75088,2015,December,3
75088,2015,February,2
75088,2015,July,1
75088,2015,June,2
75088,2015,March,2
75088,2015,May,2
75088,2015,October,1
75088,2016,April,1
75088,2016,December,1
75088,2016,July,4
75088,2016,November,1
75089,2015,April,7
75089,2015,March,2
75089,2015,May,6
75115,2015,April,6
75115,2015,February,1
75115,2015,March,2
75115,2015,May,3
75116,2015,April,3
75116,2015,December,1
75116,2015,July,2
75116,2015,June,5
75116,2015,March,4
75116,2015,May,6
75116,2015,November,2
75116,2015,October,1
75116,2015,September,4
75116,2016,April,1
75116,2016,August,2
75116,2016,February,2
75116,2016,July,1
75116,2016,June,3
75116,2016,March,3
75116,2016,May,1
75116,2016,November,2
75116,2016,October,5
75116,2016,September,5
75116,2017,February,1
75116,2017,January,1
75126,2015,June,1
75126,2016,October,1
75134,2015,December,4
75134,2015,February,1
75134,2015,July,2
